,제품명,용법_인덱스,용법_내용
64,가바원캡슐300밀리그램(가바펜틴),유지 용량을 가바펜틴으로서 900 mg/day로 하기 위해 단계적 적정을 투여의 처음 3일에 걸쳐 다음과 같이 시행한다.,
65,가바원캡슐300밀리그램(가바펜틴),- 첫째날 : 이 약 300 mg 캡슐을 1일 1회 혹은 이 약 100 mg 1캡슐을 1일 3회 투여(가바펜틴 300 mg/day),
66,가바원캡슐300밀리그램(가바펜틴),- 둘째날 : 이 약 300 mg 캡슐을 1일 2회 혹은 이 약 100 mg 2캡슐을 1일 3회 투여(가바펜틴 600 mg/day),
67,가바원캡슐300밀리그램(가바펜틴),- 셋째날부터 : 이 약 300 mg 캡슐을 1일 3회 투여 혹은 이 약 100 mg 3캡슐을 1일 3회 투여(가바펜틴 900 mg/day),
68,가바원캡슐300밀리그램(가바펜틴),"혹은 위의 방법 외에 시작용량으로 이 약 300 mg 1캡슐을 1일 3회 투여 할 수도 있다(가바펜틴 900 mg/day). 가바펜틴으로서 1,200 mg/day까지 증량할 수 있으며, 1일 총 투여량은 가바펜틴으로서 2,400 mg을 초과할 수 없다.(가바펜틴으로서 2,400 mg/day 초과용량과 관련하여 안전성 및 유효성에 대한 자료가 충분치 않다.)",
69,가바원캡슐300밀리그램(가바펜틴),2) 만 3세 이상 만 12세 이하 어린이에 대한 부가요법,
70,가바원캡슐300밀리그램(가바펜틴),유지 용량을 가바펜틴으로서 체중 kg 당 30 mg/day로 하기 위한 단계적 적정을 투여의 처음 3일에 걸쳐 다음과 같이 시행한다.,
71,가바원캡슐300밀리그램(가바펜틴),- 첫째날 : 가바펜틴으로서 10 mg/체중(kg) 투여,
72,가바원캡슐300밀리그램(가바펜틴),- 둘째날 : 가바펜틴으로서 20 mg/체중(kg) 투여,
73,가바원캡슐300밀리그램(가바펜틴),- 셋째날부터 : 가바펜틴으로서 30 mg/체중(kg) 투여,
74,가바원캡슐300밀리그램(가바펜틴),필요에 따라 1일 체중 kg 당 최대 40 mg까지 증량할 수 있다. 이 약 투여 시 1일 총 투여량은 3회로 나누어 투여한다.,
75,가바원캡슐300밀리그램(가바펜틴),2. 신경병증성 통증,
76,가바원캡슐300밀리그램(가바펜틴),성인(18세 이상) : 유지 용량을 가바펜틴으로서 900 mg/day로 하기 위한 단계적 적정을 투여의 처음 3일에 걸쳐 다음과 같이 시행한다.,
77,가바원캡슐300밀리그램(가바펜틴),- 첫째날 : 이 약 300 mg 캡슐을 1일 1회 혹은 이 약 100 mg 1캡슐을 1일 3회 투여 (가바펜틴 300 mg/day),
78,가바원캡슐300밀리그램(가바펜틴),- 둘째날 : 이 약 300 mg 캡슐을 1일 2회 혹은 이 약 100 mg 2캡슐을 1일 3회 투여 (가바펜틴 600 mg/day),
79,가바원캡슐300밀리그램(가바펜틴),- 셋째날부터 : 이 약 300 mg 캡슐을 1일 3회 투여 혹은 이 약 100 mg 3캡슐을 1일 3회 투여(가바펜틴 900 mg/day),
80,가바원캡슐300밀리그램(가바펜틴),혹은 위의 방법 외에 시작용량으로 이 약 300 mg 1캡슐을 1일 3회 투여 할 수도 있다(가바펜틴 900 mg/day).,
81,가바원캡슐300밀리그램(가바펜틴),"필요시, 일주일내에 가바펜틴으로서 1,800 mg/day까지 증량할 수 있으며, 1일 총 투여량은 가바펜틴으로서 3,600 mg을 초과하지 않는다. 이 약 투여 시 1일 총 투여량은 3회로 나누어 투여하여야 한다.",
82,가바원캡슐300밀리그램(가바펜틴),3. 허약자 : 체중이 적은 허약자 혹은 이식수술 후 환자는 가바펜틴 용량을 100 mg 단위로 증량해야 한다.,
83,가바원캡슐300밀리그램(가바펜틴),4. 고령자 : 고령에 따른 신기능의 저하로 용량조절이 필요할 수 있다(표 참조).,
84,가바원캡슐300밀리그램(가바펜틴),5. 신기능 장애환자(크레아티닌청소율이 80 mL/min이하) 또는 혈액투석을 받고 있는 환자 : 다음의 표에 근거하여 용량조절이 필요하다.,
85,가바원캡슐300밀리그램(가바펜틴),1) 신기능 장애환자의 용량 :,
86,가바원캡슐300밀리그램(가바펜틴),a : 1일 총용량은 1일 3회로 나누어 투여한다.,
87,가바원캡슐300밀리그램(가바펜틴),b : 2일마다 3 × 100 mg으로 투여되어야 한다.,
88,가바원캡슐300밀리그램(가바펜틴),크레아티닌청소율이 15 mL/min미만 환자에서 복용량은 크레아티닌청소율에 비례해서 줄여야한다.,
89,가바원캡슐300밀리그램(가바펜틴),2) 혈액투석환자의 용량,
90,가바원캡슐300밀리그램(가바펜틴),초기용량 : 300∼400 mg의 가바펜틴이 추천된다.,
91,가바원캡슐300밀리그램(가바펜틴),"유지용량 : 4시간의 혈액투석 후 200∼300 mg의 가바펜틴을 투여하고, 혈액투석을 시행하지 않는 날은 이 약을 투여하지 않는다.",
92,가바원캡슐300밀리그램(가바펜틴),6. 투약의 방법 및 기간,
93,가바원캡슐300밀리그램(가바펜틴),"1) 이 약은 충분한 유동액과 함께 통째로 삼켜야 하며, 음식물과 병용 또는 단독 투여 할 수 있다. 1일 3회 투여 시 경련 재발을 방지하기 위해 투여간격이 12시간이상 되지 않도록 주의하여야 한다.",
94,가바원캡슐300밀리그램(가바펜틴),"2) 만약 이 약의 투여를 걸렀을 경우는(가장 마지막 투여로부터 12시간이상 경과한 경우), 이후에 이것을 만회하기 위한 추가 용량의 투여여부는 의사의 판단에 의해 결정되어야 한다.",
95,가바원캡슐300밀리그램(가바펜틴),3) 마그네슘 또는 알루미늄을 함유하는 제산제와 병용하는 경우 최소한 제산제 투여의 2시간 후에 이 약을 투여하여야 한다. 이 것은 이 약의 생체이용률 감소를 크게 줄일 수 있다.,
96,가바원캡슐300밀리그램(가바펜틴),"4) 이 약의 투여 기간은 임상적 요구에 따라 달라져야 한다. 간질 치료에는, 일반적으로 장기간의 투여가 요구 된다. 반동현상(rebound phenomenon; 치료의 갑작스런 중단으로 인한 간질 발작의 빈도증가)이 나타나는 증거는 없지만, 간질 환자에게 항전간제의 갑작스런 중단은 간질 지속증을 유발할 수 있다. 이 약의 투여를 중단해야 하는 경우 및 다른 항전간제와 병용투여 할 경우 적어도 1 주일 동안 점진적으로 변화시켜야 한다.",
97,가바원캡슐300밀리그램(가바펜틴),5) 신경병증성 통증의 치료에서 5개월 이상의 투여기간에 대한 안전성 및 유효성은 평가되지 않았다.,
98,가바원캡슐300밀리그램(가바펜틴),"6) 졸음증, 어지러움, 피로감, 운동실조 등의 주된 부작용을 감소시키기 위해 투여 첫날 1차 투약은 취침 시 시행하여야 한다.",
99,가바인캡슐100mg(가바펜틴),1. 간질,"1) 만 13세 이상 환자의 단독요법 및 부가요법
유지 용량을 가바펜틴으로서 900 mg/day로 하기 위해 단계적 적정을 투여의 처음 3일에 걸쳐 다음과 같이 시행한다.
- 첫째날 : 이 약 300 mg 캡슐을 1일 1회 혹은 이 약 100 mg 1캡슐을 1일 3회 투여(가바펜틴 300 mg/day)
- 둘째날 : 이 약 300 mg 캡슐을 1일 2회 혹은 이 약 100 mg 2캡슐을 1일 3회 투여(가바펜틴 600 mg/day)
- 셋째날부터 : 이 약 300 mg 캡슐을 1일 3회 투여 혹은 이 약 100 mg 3캡슐을 1일 3회 투여(가바펜틴 900 mg/day)
혹은 위의 방법 외에 시작용량으로 이 약 300 mg 1캡슐을 1일 3회 투여 할 수도 있다(가바펜틴 900 mg/day). 가바펜틴으로서 1,200 mg/day까지 증량할 수 있으며, 1일 총 투여량은 가바펜틴으로서 2,400 mg을 초과할 수 없다.(가바펜틴으로서 2,400 mg/day 초과용량과 관련하여 안전성 및 유효성에 대한 자료가 충분치 않다.)
2) 만 3세 이상 만 12세 이하 어린이에 대한 부가요법
유지 용량을 가바펜틴으로서 체중 kg 당 30 mg/day로 하기 위한 단계적 적정을 투여의 처음 3일에 걸쳐 다음과 같이 시행한다.
- 첫째날 : 가바펜틴으로서 10 mg/체중(kg) 투여
- 둘째날 : 가바펜틴으로서 20 mg/체중(kg) 투여
- 셋째날부터 : 가바펜틴으로서 30 mg/체중(kg) 투여
필요에 따라 1일 체중 kg 당 최대 40 mg까지 증량할 수 있다. 이 약 투여 시 1일 총 투여량은 3회로 나누어 투여한다.
"
100,가바인캡슐100mg(가바펜틴),2. 신경병증성 통증,"성인(18세 이상) : 유지 용량을 가바펜틴으로서 900 mg/day로 하기 위한 단계적 적정을 투여의 처음 3일에 걸쳐 다음과 같이 시행한다.
- 첫째날 : 이 약 300 mg 캡슐을 1일 1회 혹은 이 약 100 mg 1캡슐을 1일 3회 투여 (가바펜틴 300 mg/day)
- 둘째날 : 이 약 300 mg 캡슐을 1일 2회 혹은 이 약 100 mg 2캡슐을 1일 3회 투여 (가바펜틴 600 mg/day)
- 셋째날부터 : 이 약 300 mg 캡슐을 1일 3회 투여 혹은 이 약 100 mg 3캡슐을 1일 3회 투여(가바펜틴 900 mg/day)
혹은 위의 방법 외에 시작용량으로 이 약 300 mg 1캡슐을 1일 3회 투여 할 수도 있다(가바펜틴 900 mg/day).
필요시, 일주일내에 가바펜틴으로서 1,800 mg/day까지 증량할 수 있으며, 1일 총 투여량은 가바펜틴으로서 3,600 mg을 초과하지 않는다. 이 약 투여 시 1일 총 투여량은 3회로 나누어 투여하여야 한다.
"
101,가바인캡슐100mg(가바펜틴),3. 허약자 : 체중이 적은 허약자 혹은 이식수술 후 환자는 가바펜틴 용량을 100 mg 단위로 증량해야 한다.,
102,가바인캡슐100mg(가바펜틴),4. 고령자 : 고령에 따른 신기능의 저하로 용량조절이 필요할 수 있다(표 참조).,
103,가바인캡슐100mg(가바펜틴),5. 신기능 장애환자(크레아티닌청소율이 80 mL/min이하) 또는 혈액투석을 받고 있는 환자 : 다음의 표에 근거하여 용량조절이 필요하다.,"1) 신기능 장애환자의 용량 :

a : 1일 총용량은 1일 3회로 나누어 투여한다.
b : 2일마다 3 × 100 mg으로 투여되어야 한다.
크레아티닌청소율이 15 mL/min미만 환자에서 복용량은 크레아티닌청소율에 비례해서 줄여야한다.
2) 혈액투석환자의 용량
초기용량 : 300∼400 mg의 가바펜틴이 추천된다.
유지용량 : 4시간의 혈액투석 후 200∼300 mg의 가바펜틴을 투여하고, 혈액투석을 시행하지 않는 날은 이 약을 투여하지 않는다.
"
104,가바인캡슐100mg(가바펜틴),6. 투약의 방법 및 기간,"1) 이 약은 충분한 유동액과 함께 통째로 삼켜야 하며, 음식물과 병용 또는 단독 투여 할 수 있다. 1일 3회 투여 시 경련 재발을 방지하기 위해 투여간격이 12시간이상 되지 않도록 주의하여야 한다.
2) 만약 이 약의 투여를 걸렀을 경우는(가장 마지막 투여로부터 12시간이상 경과한 경우), 이후에 이것을 만회하기 위한 추가 용량의 투여여부는 의사의 판단에 의해 결정되어야 한다.
3) 마그네슘 또는 알루미늄을 함유하는 제산제와 병용하는 경우 최소한 제산제 투여의 2시간 후에 이 약을 투여하여야 한다. 이 것은 이 약의 생체이용률 감소를 크게 줄일 수 있다.
4) 이 약의 투여 기간은 임상적 요구에 따라 달라져야 한다. 간질 치료에는, 일반적으로 장기간의 투여가 요구 된다. 반동현상(rebound phenomenon; 치료의 갑작스런 중단으로 인한 간질 발작의 빈도증가)이 나타나는 증거는 없지만, 간질 환자에게 항전간제의 갑작스런 중단은 간질 지속증을 유발할 수 있다. 이 약의 투여를 중단해야 하는 경우 및 다른 항전간제와 병용투여 할 경우 적어도 1 주일 동안 점진적으로 변화시켜야 한다.
5) 신경병증성 통증의 치료에서 5개월 이상의 투여기간에 대한 안전성 및 유효성은 평가되지 않았다.
6) 졸음증, 어지러움, 피로감, 운동실조 등의 주된 부작용을 감소시키기 위해 투여 첫날 1차 투약은 취침 시 시행하여야 한다.
"
105,가바인캡슐300mg(가바펜틴),1. 간질,"1) 만 13세 이상 환자의 단독요법 및 부가요법
유지 용량을 가바펜틴으로서 900 mg/day로 하기 위해 단계적 적정을 투여의 처음 3일에 걸쳐 다음과 같이 시행한다.
- 첫째날 : 이 약 300 mg 캡슐을 1일 1회 혹은 이 약 100 mg 1캡슐을 1일 3회 투여(가바펜틴 300 mg/day)
- 둘째날 : 이 약 300 mg 캡슐을 1일 2회 혹은 이 약 100 mg 2캡슐을 1일 3회 투여(가바펜틴 600 mg/day)
- 셋째날부터 : 이 약 300 mg 캡슐을 1일 3회 투여 혹은 이 약 100 mg 3캡슐을 1일 3회 투여(가바펜틴 900 mg/day)
혹은 위의 방법 외에 시작용량으로 이 약 300 mg 1캡슐을 1일 3회 투여 할 수도 있다(가바펜틴 900 mg/day). 가바펜틴으로서 1,200 mg/day까지 증량할 수 있으며, 1일 총 투여량은 가바펜틴으로서 2,400 mg을 초과할 수 없다.(가바펜틴으로서 2,400 mg/day 초과용량과 관련하여 안전성 및 유효성에 대한 자료가 충분치 않다.)
2) 만 3세 이상 만 12세 이하 어린이에 대한 부가요법
유지 용량을 가바펜틴으로서 체중 kg 당 30 mg/day로 하기 위한 단계적 적정을 투여의 처음 3일에 걸쳐 다음과 같이 시행한다.
- 첫째날 : 가바펜틴으로서 10 mg/체중(kg) 투여
- 둘째날 : 가바펜틴으로서 20 mg/체중(kg) 투여
- 셋째날부터 : 가바펜틴으로서 30 mg/체중(kg) 투여
필요에 따라 1일 체중 kg 당 최대 40 mg까지 증량할 수 있다. 이 약 투여 시 1일 총 투여량은 3회로 나누어 투여한다.
"
106,가바인캡슐300mg(가바펜틴),2. 신경병증성 통증,"성인(18세 이상) : 유지 용량을 가바펜틴으로서 900 mg/day로 하기 위한 단계적 적정을 투여의 처음 3일에 걸쳐 다음과 같이 시행한다.
- 첫째날 : 이 약 300 mg 캡슐을 1일 1회 혹은 이 약 100 mg 1캡슐을 1일 3회 투여 (가바펜틴 300 mg/day)
- 둘째날 : 이 약 300 mg 캡슐을 1일 2회 혹은 이 약 100 mg 2캡슐을 1일 3회 투여 (가바펜틴 600 mg/day)
- 셋째날부터 : 이 약 300 mg 캡슐을 1일 3회 투여 혹은 이 약 100 mg 3캡슐을 1일 3회 투여(가바펜틴 900 mg/day)
혹은 위의 방법 외에 시작용량으로 이 약 300 mg 1캡슐을 1일 3회 투여 할 수도 있다(가바펜틴 900 mg/day).
필요시, 일주일내에 가바펜틴으로서 1,800 mg/day까지 증량할 수 있으며, 1일 총 투여량은 가바펜틴으로서 3,600 mg을 초과하지 않는다. 이 약 투여 시 1일 총 투여량은 3회로 나누어 투여하여야 한다.
"
107,가바인캡슐300mg(가바펜틴),3. 허약자 : 체중이 적은 허약자 혹은 이식수술 후 환자는 가바펜틴 용량을 100 mg 단위로 증량해야 한다.,
108,가바인캡슐300mg(가바펜틴),4. 고령자 : 고령에 따른 신기능의 저하로 용량조절이 필요할 수 있다(표 참조).,
109,가바인캡슐300mg(가바펜틴),5. 신기능 장애환자(크레아티닌청소율이 80 mL/min이하) 또는 혈액투석을 받고 있는 환자 : 다음의 표에 근거하여 용량조절이 필요하다.,"1) 신기능 장애환자의 용량 :

a : 1일 총용량은 1일 3회로 나누어 투여한다.
b : 2일마다 3 × 100 mg으로 투여되어야 한다.
크레아티닌청소율이 15 mL/min미만 환자에서 복용량은 크레아티닌청소율에 비례해서 줄여야한다.
2) 혈액투석환자의 용량
초기용량 : 300∼400 mg의 가바펜틴이 추천된다.
유지용량 : 4시간의 혈액투석 후 200∼300 mg의 가바펜틴을 투여하고, 혈액투석을 시행하지 않는 날은 이 약을 투여하지 않는다.
"
